1024,  4071,  completed,  eof,  2018-09-19 22:22:22,  2018-09-19 22:22:29,  7,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_41.modelParams|spParams|synPermInactiveDec_0.0950683922224,  30,  9,  12,  1,  0.0001,  41,  0.0950683922224,  8.67473288796,  44.8506424944, 
1024,  4072,  completed,  eof,  2018-09-19 22:22:22,  2018-09-19 22:22:28,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0216009242481.modelParams|sensorParams|encoders|cpu:n_161.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0216009242481,  161,  0.1,  6.90958965517,  35.7243893742, 
1024,  4073,  completed,  eof,  2018-09-19 22:22:24,  2018-09-19 22:22:27,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0174744431861.modelParams|sensorParams|encoders|cpu:n_88.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0174744431861,  88,  0.1,  6.27380862069,  32.4372348012, 
1024,  4074,  completed,  eof,  2018-09-19 22:22:24,  2018-09-19 22:22:29,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0089823646424.modelParams|sensorParams|encoders|cpu:n_95.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0089823646424,  95,  0.1,  7.40960344828,  38.3095917276, 
1024,  4075,  completed,  eof,  2018-09-19 22:22:26,  2018-09-19 22:22:30,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.000862338735851.modelParams|sensorParams|encoders|cpu:n_45.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.000862338735851,  45,  0.1,  6.70025965517,  34.6420984133, 
1024,  4086,  completed,  eof,  2018-09-19 22:22:28,  2018-09-19 22:22:31,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  22,  0.1,  8.9735795867,  46.3957582482, 
1024,  4097,  completed,  eof,  2018-09-19 22:22:28,  2018-09-19 22:22:32,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0177148293908.modelParams|sensorParams|encoders|cpu:n_94.modelParams|spParams|synPermInactiveDec_0.0981466426667,  30,  9,  12,  1,  0.0177148293908,  94,  0.0981466426667,  7.13964896552,  36.9138563024, 
1024,  4098,  completed,  eof,  2018-09-19 22:22:29,  2018-09-19 22:22:33,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0109392960397.modelParams|sensorParams|encoders|cpu:n_49.modelParams|spParams|synPermInactiveDec_0.0940195241402,  30,  9,  12,  1,  0.0109392960397,  49,  0.0940195241402,  6.53464060597,  33.7858045236, 
1024,  4099,  completed,  eof,  2018-09-19 22:22:29,  2018-09-19 22:22:35,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0325727546241.modelParams|sensorParams|encoders|cpu:n_194.modelParams|spParams|synPermInactiveDec_0.0875375,  30,  9,  13,  2,  0.0325727546241,  194,  0.0875375,  7.04110344828,  36.4043501515, 
1024,  4100,  completed,  eof,  2018-09-19 22:22:30,  2018-09-19 22:22:33,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00814288033766.modelParams|sensorParams|encoders|cpu:n_52.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00814288033766,  52,  0.1,  6.14517645517,  31.7721727937, 
1024,  4101,  completed,  eof,  2018-09-19 22:22:30,  2018-09-19 22:22:34,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00308680398262.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00308680398262,  22,  0.1,  8.9735795867,  46.3957582482, 
1024,  4103,  completed,  eof,  2018-09-19 22:22:31,  2018-09-19 22:22:35,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0142915725722.modelParams|sensorParams|encoders|cpu:n_82.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0142915725722,  82,  0.1,  6.88028682759,  35.5728860759, 
1024,  4104,  completed,  eof,  2018-09-19 22:22:32,  2018-09-19 22:22:36,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0164331827836.modelParams|sensorParams|encoders|cpu:n_81.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0164331827836,  81,  0.1,  7.53088896552,  38.9366696381, 
1024,  4105,  completed,  eof,  2018-09-19 22:22:33,  2018-09-19 22:22:38,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0149203017674.modelParams|sensorParams|encoders|cpu:n_81.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0149203017674,  81,  0.1,  7.53088896552,  38.9366696381, 
1024,  4106,  completed,  eof,  2018-09-19 22:22:34,  2018-09-19 22:22:37,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00554333575364.modelParams|sensorParams|encoders|cpu:n_45.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00554333575364,  45,  0.1,  6.23407225547,  32.2317873789, 
