timestamp,CPU,prediction,anomaly_score,anomaly_likelihood
2018-09-19 23:56:00,7.6,21.4,0.025,0.5
2018-09-19 23:56:00,10.3,7.5426860867,0.025,0.5
2018-09-19 23:56:00,10.2,7.5426860867,0.025,0.5
2018-09-19 23:56:00,8.2,12.884855129999998,0.0,0.5
2018-09-19 23:56:00,18.6,15.261999999999997,0.0,0.5
2018-09-19 23:56:00,16.2,7.5426860867,0.775,0.5
2018-09-19 23:56:00,5.1,12.884855129999998,0.0,0.5
2018-09-19 23:56:00,6.5,10.109245929809997,0.025,0.5
2018-09-19 23:56:00,9.2,8.738935529999997,0.025,0.5
2018-09-19 23:56:00,58.2,58.2,1.0,0.5
2018-09-19 23:56:00,100.0,100.0,1.0,0.5
2018-09-19 23:56:00,100.0,100.0,1.0,0.5
2018-09-19 23:56:00,100.0,100.0,1.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:56:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
2018-09-19 23:57:00,100.0,100.0,0.0,0.5
