timestamp,CPU,prediction,anomaly_score,anomaly_likelihood
2018-09-19 23:49:00,6.6,6.6,1.0,0.5
2018-09-19 23:49:00,9.2,9.2,1.0,0.5
2018-09-19 23:49:00,14.4,9.2,1.0,0.5
2018-09-19 23:49:00,17.0,14.4,0.05,0.5
2018-09-19 23:49:00,11.6,15.18,0.0,0.5
2018-09-19 23:49:00,6.2,11.6,0.0,0.5
2018-09-19 23:49:00,11.3,6.479999999999999,0.0,0.5
2018-09-19 23:49:00,5.1,11.51,0.0,0.5
2018-09-19 23:49:00,10.4,6.065999999999999,0.0,0.5
2018-09-19 23:49:00,7.2,9.559999999999999,0.0,0.5
